run_id,benchmark,topology,num_agents,num_events,num_claim_nodes,num_claim_edges,num_agent_edges,num_root_claims,num_final_claims,num_placeholder_claims,max_out_degree,max_in_degree,max_claim_depth,mean_claim_depth
GAIA__dynamic_reputation__n32__s2__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,32,70,70,82,77,32,1,0,6,8,5,1.457
GAIA__dynamic_reputation__n32__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,32,70,70,82,77,32,1,0,6,8,5,1.457
GAIA__dynamic_reputation__n32__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,32,70,70,82,77,32,1,0,6,8,5,1.457
GAIA__dynamic_reputation__n32__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,32,70,70,82,77,32,1,0,6,8,5,1.457
GAIA__dynamic_reputation__n64__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,64,116,116,117,115,64,1,0,7,16,5,1.138
GAIA__dynamic_reputation__n64__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,64,116,116,117,115,64,1,0,7,16,5,1.138
GAIA__dynamic_reputation__n64__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,64,116,116,117,115,64,1,0,7,16,5,1.138
GAIA__dynamic_reputation__n64__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,64,116,116,117,115,64,1,0,7,16,5,1.138
GAIA__dynamic_reputation__n64__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,64,116,116,117,115,64,1,0,7,16,5,1.138
GAIA__dynamic_reputation__n64__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,64,113,113,112,107,64,1,0,8,16,5,1.071
GAIA__dynamic_reputation__n64__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,64,113,113,112,107,64,1,0,8,16,5,1.071
GAIA__dynamic_reputation__n64__s1__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,64,113,113,112,107,64,1,0,8,16,5,1.071
GAIA__dynamic_reputation__n64__s1__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,64,113,113,112,107,64,1,0,8,16,5,1.071
GAIA__dynamic_reputation__n64__s1__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,64,113,113,112,107,64,1,0,8,16,5,1.071
GAIA__dynamic_reputation__n64__s2__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,64,113,113,112,106,64,1,0,7,16,5,1.088
GAIA__dynamic_reputation__n64__s2__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,64,113,113,112,106,64,1,0,7,16,5,1.088
GAIA__dynamic_reputation__n64__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,64,113,113,112,106,64,1,0,7,16,5,1.088
GAIA__dynamic_reputation__n64__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,64,113,113,112,106,64,1,0,7,16,5,1.088
GAIA__dynamic_reputation__n64__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,64,113,113,112,106,64,1,0,7,16,5,1.088
GAIA__dynamic_reputation__n8__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,8,41,41,62,35,8,1,0,7,2,5,2.073
GAIA__dynamic_reputation__n8__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,8,41,41,62,35,8,1,0,7,2,5,2.073
GAIA__dynamic_reputation__n8__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,8,41,41,62,35,8,1,0,7,2,5,2.073
GAIA__dynamic_reputation__n8__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,8,41,41,62,35,8,1,0,7,2,5,2.073
GAIA__dynamic_reputation__n8__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,8,41,41,62,35,8,1,0,7,2,5,2.073
GAIA__dynamic_reputation__n8__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,8,41,41,57,36,8,1,0,9,2,5,2.073
GAIA__dynamic_reputation__n8__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,8,41,41,57,36,8,1,0,9,2,5,2.073
GAIA__dynamic_reputation__n8__s1__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,8,41,41,57,36,8,1,0,9,2,5,2.073
GAIA__dynamic_reputation__n8__s1__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,8,41,41,57,36,8,1,0,9,2,5,2.073
GAIA__dynamic_reputation__n8__s1__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,8,41,41,57,36,8,1,0,9,2,5,2.073
GAIA__dynamic_reputation__n8__s2__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,8,41,41,65,39,8,1,0,6,2,5,2.073
GAIA__dynamic_reputation__n8__s2__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,8,41,41,65,39,8,1,0,6,2,5,2.073
GAIA__dynamic_reputation__n8__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,8,41,41,65,39,8,1,0,6,2,5,2.073
GAIA__dynamic_reputation__n8__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,8,41,41,65,39,8,1,0,6,2,5,2.073
GAIA__dynamic_reputation__n8__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,8,41,41,65,39,8,1,0,6,2,5,2.073
GAIA__full_mesh__n128__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
GAIA__full_mesh__n128__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,full_mesh,128,161,160,4192,842,12,1,115,33,128,3,1.133
GAIA__full_mesh__n128__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
GAIA__full_mesh__n128__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
GAIA__full_mesh__n128__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,full_mesh,128,161,161,4192,2538,71,1,57,33,128,3,0.49
GAIA__full_mesh__n128__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,full_mesh,128,161,161,4192,4192,128,1,0,33,128,3,0.317
